fraction	superkingdom	phylum	class	order	family	genus	species
0.000756455943866798	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter kobei
0.0006787248819656985	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Didemnitutus	s__Didemnitutus sp023701285
0.0006237443747673598	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__JAEUIK01	g__JAEUIK01	s__JAEUIK01 sp016793185
0.0005984659806531811	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter hormaechei_A
0.0005674999478633121	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Ferrovibrionales	f__Ferrovibrionaceae	g__JAFKFH01	s__JAFKFH01 sp023433835
0.0005144153202235369	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Microvirgula	s__Microvirgula aerodenitrificans
0.0004922967253736304	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__HRBIN30	f__CADEER01	g__JAHBUY01	s__JAHBUY01 sp019637795
0.00046322657214232496	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp009772935
0.0004328924992053105	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter soli
0.00040761410509113175	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__JAEUHS01	s__JAEUHS01 sp019636245
0.0003659047548027369	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CACIAM-22H2	f__CACIAM-22H2	g__Tagaea	s__Tagaea sp017308135
0.00035768927671562883	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__JAHBXE01	s__JAHBXE01 sp019636625
0.0003368346015714314	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__JAHBWV01	s__JAHBWV01 sp019636845
0.0003279871636314688	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax	s__Rubrivivax sp016719535
0.00031218816731010715	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp004296815
0.0003058685687815624	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp019635955
0.0002900695724602007	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Turneriellales	f__Turneriellaceae	g__Turneriella	s__Turneriella sp017302045
0.0002869097731959284	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__NBRC-103111	g__Paenibacillus_G	s__Paenibacillus_G validus
0.0002862778133430739	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__CAKKQX01	s__CAKKQX01 sp019746155
0.0002818540943730927	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Nevskia	s__Nevskia sp021732745
0.00026858293746314884	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002874965
0.000266055098051731	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_E	s__Nitrospira_E moscoviensis
0.0002616313790817497	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp903929895
0.0002515200214360782	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__Rhizomicrobium sp945882615
0.00024330454334897013	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__TH1-2	g__VFBF01	s__VFBF01 sp016791445
0.0002401447440846978	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp023386865
0.00023129730614473523	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter_A	s__Citrobacter_A amalonaticus
0.00022371378791048163	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__WYBT01	s__WYBT01 sp011525785
0.0002205539886462093	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__12-FULL-67-14b sp021730945
0.00021107459085339226	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	s__Nitrospira_F sp002331335
0.00020917871129482886	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__UBA8139	g__JAGQTE01	s__JAGQTE01 sp020439175
0.00020222715291342972	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__NBRC-103111	g__Paenibacillus_E	s__Paenibacillus_E sp008017805
0.00019843539379630292	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Achromobacter	s__Achromobacter insuavis
0.00019717147409059399	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Thermaceae	g__Thermus_A	s__Thermus_A filiformis
0.00019590755438488502	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp017990895
0.00019021991570919482	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Ferrovibrionales	f__Ferrovibrionaceae	g__JAFKFH01	s__JAFKFH01 sp017307375
0.00018074051791637782	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp016219575
0.00017947659821066888	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__Z2-YC6860 sp016869215
0.00016999720041785185	d__Bacteria	p__Planctomycetota	c__UBA8742	o__UBA2392	f__UBA2392	g__H3-PLA7	s__H3-PLA7 sp015075515
0.0001668374011535795	d__Bacteria	p__Aquificota	c__Aquificae	o__Hydrogenothermales	f__Hydrogenothermaceae	g__Sulfurihydrogenibium	s__Sulfurihydrogenibium azorense
0.0001630456420364527	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CACIAM-22H2	f__CACIAM-22H2	g__Tagaea	s__Tagaea sp014444615
0.00015862192306647144	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp004297265
0.00015798996321361697	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax	s__Rubrivivax sp903828235
0.00015672604350790804	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp019636015
0.00015672604350790804	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__Ga0077527	s__Ga0077527 sp022843705
0.00015609408365505357	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__RBG-16-66-20	s__RBG-16-66-20 sp022844545
0.00015230232453792674	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Nevskia	s__Nevskia sp013823855
0.00014598272600938207	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Comamonas	s__Comamonas acidovorans
0.00014219096689225527	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_I	s__Paenibacillus_I darwinianus
0.0001415590070394008	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp016185145
0.0001396631274808374	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Ga0077536	f__Ga0077536	g__JADJYF01	s__JADJYF01 sp019747795
0.0001358713683637106	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax	s__Rubrivivax albus
0.00013460744865800167	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA12015	f__UBA12015	g__VGTK01	s__VGTK01 sp019749875
0.00013207960924658377	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__JABFSM01	s__JABFSM01 sp019637315
0.0001295517698351659	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp001557035
0.00012702393042374804	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__EnvOPS12	g__OLB14	s__OLB14 sp008363285
0.00011880845233663995	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella michiganensis
0.00011438473336665868	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter acidiphobus
0.00011248885380809528	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae
0.00011122493410238635	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_J	s__Serratia_J grimesii
0.00010932905454382295	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotenuis	s__Nitrosotenuis uzonensis
0.00010680121513240506	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__UBA2377	s__UBA2377 sp002344205
0.00010490533557384166	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Ferrovibrionales	f__Ferrovibrionaceae	g__Ferrovibrio	s__Ferrovibrio sp018336035
0.00010174553630956933	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp002281855
0.00010174553630956933	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E vanderleydeniana
0.00010111357645671486	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__Ga0077527	s__Ga0077527 sp019634975
0.0001004816166038604	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__Z2-YC6860 sp019746135
0.0001004816166038604	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium meiothermophilum
9.858573704529699e-05	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__UBA2396	s__UBA2396 sp015200025
9.858573704529699e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp020160955
9.732181733958804e-05	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus erythropolis_D
9.479397792817018e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__SHVZ01	f__SHVZ01	g__SHVZ01	s__SHVZ01 sp016792585
9.416201807531571e-05	d__Bacteria	p__Actinomycetota	c__Thermoleophilia	o__Solirubrobacterales	f__JACPNS01	g__JACPNS01	s__JACPNS01 sp023404495
9.416201807531571e-05	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__UBA2387	s__UBA2387 sp002343445
9.416201807531571e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Hydrogenophaga	s__Hydrogenophaga pseudoflava
9.163417866389784e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp900110395
8.973829910533444e-05	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas sp020161135
8.84743793996255e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax	s__Rubrivivax sp020248945
8.721045969391656e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Comamonas	s__Comamonas koreensis_A
8.721045969391656e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter asburiae_B
8.657849984106209e-05	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	s__Nitrospira_F sp015903945
8.531458013535316e-05	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__Lacunisphaera sp016795565
8.531458013535316e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ideonella_A	s__Ideonella_A sakaiensis
8.468262028249869e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__WHTP01	s__WHTP01 sp019745775
8.405066042964422e-05	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA12015	f__UBA12015	g__VGTK01	s__VGTK01 sp016874715
8.278674072393529e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp013823365
8.278674072393529e-05	d__Bacteria	p__Patescibacteria	c__ABY1	o__SG8-24	f__2-12-FULL-60-25	g__JAGOUA01	s__JAGOUA01 sp018061485
8.089086116537189e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CACIAM-22H2	f__CACIAM-22H2	g__Tagaea	s__Tagaea sp020161965
8.025890131251742e-05	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Caldilineales	f__Caldilineaceae	g__CFX5	s__CFX5 sp023384495
7.962694145966295e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__Afipia clevelandensis
7.709910204824507e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp017305715
7.64671421953906e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp017305915
7.520322248968167e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__Pseudolabrys sp022841665
7.330734293111827e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CACIAM-22H2	f__CACIAM-22H2	g__Tagaea	s__Tagaea sp016794005
7.141146337255487e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp021732175
6.761970425542807e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp013205335
6.761970425542807e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E palmensis
6.698774440257359e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Parvibaculales	f__Parvibaculaceae	g__Parvibaculum	s__Parvibaculum sp002480495
6.698774440257359e-05	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__EnvOPS12	g__OLB14	s__OLB14 sp016789205
6.698774440257359e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax	s__Rubrivivax sp019635315
6.572382469686465e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__TH1-2	g__Vitreimonas	s__Vitreimonas sp016703335
6.509186484401019e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella soli
6.382794513830125e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__GCA-016699855	s__GCA-016699855 sp016699855
6.382794513830125e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__UBA7803	s__UBA7803 sp019634925
6.319598528544678e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella aquatilis
6.193206557973785e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella aerosaccus
6.130010572688338e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp003963435
6.0668145874028916e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Atlantibacter	s__Atlantibacter hermannii
5.9404226168319976e-05	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__Lacunisphaera sp900104925
5.814030646261104e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax	s__Rubrivivax sp016223165
5.814030646261104e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__TH1-2	g__Vitreimonas	s__Vitreimonas sp016791325
5.687638675690211e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax_A	s__Rubrivivax_A sp017302505
5.687638675690211e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp902825855
5.624442690404764e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Sulfurifustaceae	g__SCRL01	s__SCRL01 sp004298065
5.5612467051193173e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__SHVZ01	f__SHVZ01	g__SHVZ01	s__SHVZ01 sp016869285
5.4980507198338706e-05	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__SCN-69-37	s__SCN-69-37 sp001724025
5.4980507198338706e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__CADEGL01	f__CADEGL01	g__CADEGL01	s__CADEGL01 sp902826885
5.434854734548424e-05	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__EnvOPS12	g__OLB14	s__OLB14 sp002345215
5.434854734548424e-05	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__SYFT01	s__SYFT01 sp016871335
5.434854734548424e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium sp023101085
5.3716587492629766e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__Ga0077527	s__Ga0077527 sp023431245
5.30846276397753e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella sp009377525
5.30846276397753e-05	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Didemnitutus	s__Didemnitutus sp017991595
5.30846276397753e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Rhizorhabdus	s__Rhizorhabdus wittichii
5.245266778692083e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_AM
5.245266778692083e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium sp024699985
5.1820707934066364e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__CAKKQX01	s__CAKKQX01 sp919902235
5.1820707934066364e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Ferrovibrionales	f__Ferrovibrionaceae	g__Ferrovibrio	s__Ferrovibrio terrae
5.11887480812119e-05	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__ER46	s__ER46 sp016794785
5.11887480812119e-05	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__PNKF01	s__PNKF01 sp019637355
5.11887480812119e-05	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UTPRO1	f__UTPRO1	g__UTPRO1	s__UTPRO1 sp020848745
5.11887480812119e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella oxytoca
5.11887480812119e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__Reyranella massiliensis_B
5.055678822835743e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__JAEULC01	f__JAEULC01	g__JAEULC01	s__JAEULC01 sp016792605
4.992482837550296e-05	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__PLA5	g__PLA5	s__PLA5 sp003576845
4.992482837550296e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__RBG-16-66-20	s__RBG-16-66-20 sp016868105
4.9292868522648496e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__Rhizomicrobium sp945860165
4.866090866979402e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__SHVW01	f__SHVW01	g__SHVW01	s__SHVW01 sp016869645
4.866090866979402e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis terrae
4.8028948816939555e-05	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__F1-120-MAGs118	s__F1-120-MAGs118 sp013360535
4.8028948816939555e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Nevskia	s__Nevskia sp903885465
4.8028948816939555e-05	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__Chryseobacterium gleum
4.8028948816939555e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__Mesorhizobium terrae
4.739698896408509e-05	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__ER46	s__ER46 sp016793535
